,Gershgorin,DeVille,Algorithm 2(k=1),Algorithm 2(k=4),eigenvalue,Gershgorin_time,DeVille_time,Algorithm 2(k=1)_time,Algorithm 2(k=4)_time,eigenvalue_time,n
0,-479.27566047972147,-479.27566047972147,1.0066375983961438,1.0066375983961438,1.9999999999999598,0.003058195114135742,0.16242694854736328,0.42587780952453613,0.4441549777984619,0.4342918395996094,1000
1,-996.414422053065,-996.2895260332581,1.013552146257536,1.013552146257536,1.9999999999998668,0.009620904922485352,0.743894100189209,1.7309668064117432,1.7603740692138672,2.2360382080078125,2000
2,-1497.6657702674145,-1497.293340418252,1.005321290972783,1.005321290972783,1.9999999999998552,0.012766122817993164,1.6418020725250244,3.800945281982422,3.8490631580352783,8.15066123008728,3000
3,-2011.0950357297909,-2011.0950357297909,1.0006495048526727,1.0006495048526727,1.9999999999999296,0.01954483985900879,2.7449960708618164,6.740709066390991,6.821917772293091,19.099933862686157,4000
4,-2512.9172334876152,-2512.8751550323855,0.9967875276350617,0.9967875276350617,1.9999999999996159,0.2518472671508789,5.948153972625732,11.213584899902344,12.425709009170532,36.77847599983215,5000
5,-2995.219940002149,-2995.141883511368,0.9872195914241741,0.9872195914241741,1.9999999999996456,0.40367603302001953,7.503373861312866,16.131409883499146,17.797791004180908,62.72385501861572,6000
6,-3532.8527576738807,-3532.81471160088,0.9956795131463783,0.9956795131463783,1.9999999999998779,0.6047799587249756,10.831856727600098,21.362671852111816,23.093096017837524,100.89903330802917,7000
7,-4027.529992582087,-4027.529992582087,0.9938793451199222,0.9938793451199222,1.9999999999998663,0.7333719730377197,13.330493927001953,28.640605926513672,30.666800022125244,143.45801997184753,8000
8,-4473.8395993647355,-4473.8395993647355,0.9818767481317527,0.9818767481317527,1.999999999999458,0.3246481418609619,17.78773808479309,38.05735898017883,38.624128103256226,200.10038495063782,9000
9,-4977.341231539714,-4977.07898677887,0.9794767876087962,0.9794767876087962,1.9999999999994533,0.8896701335906982,24.32927703857422,46.43876600265503,49.27567386627197,276.8602237701416,10000
